[3979]: {'stabilizer.yaw': 0.010514937341213226, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 290.0, 'hotpatch.context_switches': 17342.0, 'hotpatch.measure_time': 4972948.0}
[3989]: {'stabilizer.yaw': 0.01040433906018734, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 291.0, 'hotpatch.context_switches': 17434.0, 'hotpatch.measure_time': 4999297.0}
[3999]: {'stabilizer.yaw': 0.011259558610618114, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 292.0, 'hotpatch.context_switches': 17527.0, 'hotpatch.measure_time': 5025940.0}
[4009]: {'stabilizer.yaw': 0.011035527102649212, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 293.0, 'hotpatch.context_switches': 17616.0, 'hotpatch.measure_time': 5051464.0}
[4019]: {'stabilizer.yaw': 0.01173355057835579, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 294.0, 'hotpatch.context_switches': 17710.0, 'hotpatch.measure_time': 5078164.0}
[4029]: {'stabilizer.yaw': 0.01138483639806509, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 295.0, 'hotpatch.context_switches': 17800.0, 'hotpatch.measure_time': 5103943.0}
[4039]: {'stabilizer.yaw': 0.012566391378641129, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 296.0, 'hotpatch.context_switches': 17892.0, 'hotpatch.measure_time': 5130363.0}
[4049]: {'stabilizer.yaw': 0.011150908656418324, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 297.0, 'hotpatch.context_switches': 17982.0, 'hotpatch.measure_time': 5156202.0}
[4059]: {'stabilizer.yaw': 0.01231767050921917, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 298.0, 'hotpatch.context_switches': 18075.0, 'hotpatch.measure_time': 5182864.0}
[4069]: {'stabilizer.yaw': 0.012696837075054646, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 299.0, 'hotpatch.context_switches': 18166.0, 'hotpatch.measure_time': 5208990.0}
[4079]: {'stabilizer.yaw': 0.011424411088228226, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 300.0, 'hotpatch.context_switches': 18257.0, 'hotpatch.measure_time': 5235120.0}
[4089]: {'stabilizer.yaw': 0.013304282911121845, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 301.0, 'hotpatch.context_switches': 18350.0, 'hotpatch.measure_time': 5261573.0}
[4099]: {'stabilizer.yaw': 0.013119671493768692, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 302.0, 'hotpatch.context_switches': 18445.0, 'hotpatch.measure_time': 5288868.0}
[4109]: {'stabilizer.yaw': 0.013637397438287735, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 303.0, 'hotpatch.context_switches': 18536.0, 'hotpatch.measure_time': 5314742.0}
