[3745]: {'stabilizer.yaw': -0.0013803646434098482, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 266.0, 'hotpatch.context_switches': 15108.0, 'hotpatch.measure_time': 3862471.0}
[3755]: {'stabilizer.yaw': -0.000324346125125885, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 267.0, 'hotpatch.context_switches': 15195.0, 'hotpatch.measure_time': 3884907.0}
[3765]: {'stabilizer.yaw': 0.00036499748239293694, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 268.0, 'hotpatch.context_switches': 15286.0, 'hotpatch.measure_time': 3907894.0}
[3775]: {'stabilizer.yaw': 5.794940807390958e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 269.0, 'hotpatch.context_switches': 15375.0, 'hotpatch.measure_time': 3930855.0}
[3785]: {'stabilizer.yaw': 7.837197335902601e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 270.0, 'hotpatch.context_switches': 15465.0, 'hotpatch.measure_time': 3954060.0}
[3795]: {'stabilizer.yaw': 0.0017768086399883032, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 271.0, 'hotpatch.context_switches': 15556.0, 'hotpatch.measure_time': 3977465.0}
[3805]: {'stabilizer.yaw': 0.0012964712223038077, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 272.0, 'hotpatch.context_switches': 15650.0, 'hotpatch.measure_time': 4001635.0}
[3815]: {'stabilizer.yaw': 0.0012984875356778502, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 273.0, 'hotpatch.context_switches': 15739.0, 'hotpatch.measure_time': 4024352.0}
[3825]: {'stabilizer.yaw': 0.0020308878738433123, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 274.0, 'hotpatch.context_switches': 15830.0, 'hotpatch.measure_time': 4047817.0}
[3835]: {'stabilizer.yaw': 0.00302929081954062, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 275.0, 'hotpatch.context_switches': 15920.0, 'hotpatch.measure_time': 4071035.0}
[3845]: {'stabilizer.yaw': 0.002799499314278364, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 276.0, 'hotpatch.context_switches': 16011.0, 'hotpatch.measure_time': 4094500.0}
[3855]: {'stabilizer.yaw': 0.0027401039842516184, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 277.0, 'hotpatch.context_switches': 16100.0, 'hotpatch.measure_time': 4117468.0}
[3865]: {'stabilizer.yaw': 0.0020796870812773705, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 278.0, 'hotpatch.context_switches': 16191.0, 'hotpatch.measure_time': 4140919.0}
[3875]: {'stabilizer.yaw': 0.002564403461292386, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 279.0, 'hotpatch.context_switches': 16280.0, 'hotpatch.measure_time': 4163834.0}
[3885]: {'stabilizer.yaw': 0.0027418076060712337, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 280.0, 'hotpatch.context_switches': 16371.0, 'hotpatch.measure_time': 4187240.0}
[3895]: {'stabilizer.yaw': 0.004036554601043463, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 281.0, 'hotpatch.context_switches': 16460.0, 'hotpatch.measure_time': 4210127.0}
[3905]: {'stabilizer.yaw': 0.0029417260084301233, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 282.0, 'hotpatch.context_switches': 16552.0, 'hotpatch.measure_time': 4233784.0}
[3915]: {'stabilizer.yaw': 0.0022979876957833767, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 283.0, 'hotpatch.context_switches': 16640.0, 'hotpatch.measure_time': 4256482.0}
[3925]: {'stabilizer.yaw': 0.00229011382907629, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 285.0, 'hotpatch.context_switches': 16731.0, 'hotpatch.measure_time': 4280099.0}
[3935]: {'stabilizer.yaw': 0.002353052608668804, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 286.0, 'hotpatch.context_switches': 16820.0, 'hotpatch.measure_time': 4303059.0}
[3945]: {'stabilizer.yaw': 0.0031330338679254055, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 287.0, 'hotpatch.context_switches': 16909.0, 'hotpatch.measure_time': 4326027.0}
[3955]: {'stabilizer.yaw': 0.003735998645424843, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 288.0, 'hotpatch.context_switches': 16998.0, 'hotpatch.measure_time': 4348953.0}
