[3786]: {'stabilizer.yaw': -0.001043354975990951, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 15138.0, 'hotpatch.measure_time': 2839853.0}
[3796]: {'stabilizer.yaw': -0.002265330869704485, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 15228.0, 'hotpatch.measure_time': 2856833.0}
[3806]: {'stabilizer.yaw': -0.00227662967517972, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 15323.0, 'hotpatch.measure_time': 2874729.0}
[3816]: {'stabilizer.yaw': -0.002312094671651721, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 15413.0, 'hotpatch.measure_time': 2891715.0}
[3826]: {'stabilizer.yaw': -0.003282147692516446, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 15505.0, 'hotpatch.measure_time': 2909070.0}
[3836]: {'stabilizer.yaw': -0.0029557517264038324, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 15595.0, 'hotpatch.measure_time': 2926051.0}
[3846]: {'stabilizer.yaw': -0.002054784679785371, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 15687.0, 'hotpatch.measure_time': 2943409.0}
[3856]: {'stabilizer.yaw': -0.0011179932625964284, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 15777.0, 'hotpatch.measure_time': 2960467.0}
[3866]: {'stabilizer.yaw': -0.0010123250540345907, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 15869.0, 'hotpatch.measure_time': 2977827.0}
[3876]: {'stabilizer.yaw': -0.001091267797164619, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 15959.0, 'hotpatch.measure_time': 2994807.0}
[3886]: {'stabilizer.yaw': -0.0006975930882617831, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 16051.0, 'hotpatch.measure_time': 3012166.0}
[3896]: {'stabilizer.yaw': -0.00065339490538463, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 16141.0, 'hotpatch.measure_time': 3029147.0}
[3906]: {'stabilizer.yaw': -0.0002987877815030515, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 16236.0, 'hotpatch.measure_time': 3047052.0}
[3916]: {'stabilizer.yaw': -0.0008100325358100235, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 16327.0, 'hotpatch.measure_time': 3064216.0}
[3926]: {'stabilizer.yaw': -0.0009490755037404597, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 16418.0, 'hotpatch.measure_time': 3081400.0}
[3936]: {'stabilizer.yaw': -0.0002019938692683354, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 16507.0, 'hotpatch.measure_time': 3098197.0}
[3946]: {'stabilizer.yaw': 6.581328489119187e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 16598.0, 'hotpatch.measure_time': 3115371.0}
[3956]: {'stabilizer.yaw': -0.001522511476650834, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 16686.0, 'hotpatch.measure_time': 3132000.0}
[3966]: {'stabilizer.yaw': -0.0002630933013278991, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 16777.0, 'hotpatch.measure_time': 3149190.0}
[3976]: {'stabilizer.yaw': -0.0017701229080557823, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 16864.0, 'hotpatch.measure_time': 3165657.0}
[3986]: {'stabilizer.yaw': -0.0024650366976857185, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 16953.0, 'hotpatch.measure_time': 3182485.0}
[3996]: {'stabilizer.yaw': -0.0017367205582559109, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 17040.0, 'hotpatch.measure_time': 3198930.0}
[4006]: {'stabilizer.yaw': -0.0015374993672594428, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 17133.0, 'hotpatch.measure_time': 3216517.0}
[4016]: {'stabilizer.yaw': -0.0030004370491951704, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 17221.0, 'hotpatch.measure_time': 3233150.0}
[4026]: {'stabilizer.yaw': -0.0033454825170338154, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 17311.0, 'hotpatch.measure_time': 3250168.0}
[4036]: {'stabilizer.yaw': -0.0037859154399484396, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 17399.0, 'hotpatch.measure_time': 3266845.0}
[4046]: {'stabilizer.yaw': -0.0043447730131447315, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 17491.0, 'hotpatch.measure_time': 3284305.0}
[4056]: {'stabilizer.yaw': -0.004059989005327225, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 17581.0, 'hotpatch.measure_time': 3301364.0}
[4066]: {'stabilizer.yaw': 0.004720998927950859, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 17669.0, 'hotpatch.measure_time': 3317866.0}
